:START_ID(Orgao_superior),:END_ID(Orgao)
cef47169adf91d4efaff9007f1d006ac4e88bf88683ad56fd35baed066dcdcc6,d4fa042e49fdb0400d0f6c8da621b6d8ce496cf62846f1e612b21d91bb42581a
6dda5c5a2247d348c4c07f9d7edc9b02aa6ba5e8774ed22a046bd3ee479ca8b2,b7cff9d26362623eea214b7f57613760548436d4e9d3ead35d4d1afcd2f22135
e929a1a2758c6cef636a2b3546fe7f57e45eb2ac59a180af2f902a728b938093,b877a8952ca88abf562facaa6379153b83396d810b90088514fab158d5c9b206
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,1c6a4b0142c2dfb468d852722b1851d0bb40d24a69355d791a4cbf3bda941fb2
9f486e78edb0f15dc499e145cd5c3b3849958125e7b6f9664776f3f8f2a76d5c,e6a898d5facae9593779d6dfd1736bfedbf1336018f46338a83f29a545f33451
baf2c04a475a6714a665b9a2c286f78c06ae7a8313119593b829d0648c8a2e72,436d3442157be313c5f1180ff24b3bb4505c87ccfa91c0e4d77f1a680b893853
74f08ce38c5bde2a2c1697809347a3b30e69582bc88eae8dd1d8175abc5d830f,141a4a0356736161f52caccc09184f9138923a786546dec732e2854272b1cae3
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,2cc327784d5e93517e33e743a1f3e9b9884fc67a8cba11c58723e98de14e1213
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,03549c864ed35ef1c02f4f4263b2ca2aae53e374b277f763d5d635c9f8fc9549
f42d465e48f561f7198a999f654811fd5433255f7bda60342c56ede755c16dab,2a1d6e03b1de6c3c8b1dfc3ca14a2af355a2acff3cde423b5f1bddb060ddd4bc
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,7a11faec64dd1d32448ef8407572c7db1bb949e2ac01b4da8ac7f3d12ed7242b
74f08ce38c5bde2a2c1697809347a3b30e69582bc88eae8dd1d8175abc5d830f,84f083007f6fba2b1bffcb57ffb5c57107a077775926c021cf6e79d6529e4b20
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,554eea647b9f997cedc77b6a4e0e4cc2f58b5dd24fa89ee46afe70c8ac8010ea
70b79135d80ec385a6736ace67c6dddc172951cfd5dc120d4fe2e4fc1ffc02e2,375fe3b60a99342752cd7db6d75dee991a85ee6098024d0a7b40e3e851660193
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,2738fc0d21ceb6402d7e73ea4fc1f0c397f56a883c5c0f763e42d2d599ff7b13
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,c7f7deace6b2f54a711d30e6eca022d533e5ed0b776aa99ad73891b80ed22afd
7ed7b74c3360466be651ed9f92269011c6d5cb56432ba334d96c74e4923fe541,1f5aa27f1bcae2314e79a18b7c8711cb03e5f4e1fd1e278c8a4240f144a43f00
41994a9fc15b9697e3e370568df68851e1b416bf7eccc7a62c1d7c026c36099e,b9475de5915148892ed2ddb2ff07c9118ebd7addebd80273e6e137c2a0e1ba6e
a1dc81cfa9344831b87dcb5cec01a47f2eaf3da1da76760175d8d3f0680cc87c,45bbf218b757277113f57791034d29eaf2f66403ab3c5a3af397cfe01e48df7d
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,59a18cd07abdcd20bac033c8418da09b7145303f895bccd45865c06ac006afc8
86bcbc656d1f5272014006e1a9ff0173657f4d493ce373c7a049795f6993e486,2c17cc5e6ecb873e8b293ba9ed8de5b80d8b8aae2c1fbcc9bbe2e95864468868
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,fe2d11f3c91e0e7ea9a2cc2d406a72bb2abbd0cefb9d71d667fc8b74fa45da8f
6dda5c5a2247d348c4c07f9d7edc9b02aa6ba5e8774ed22a046bd3ee479ca8b2,eb371248a37142f9962c55b52060421f39f7948de49eb31221eec7bcb3ba8ad9
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,5e0fb3d4dfa051a7dbaef061518950db014d6377c09b741d506fd7902f65f92c
a1dc81cfa9344831b87dcb5cec01a47f2eaf3da1da76760175d8d3f0680cc87c,b280bee9123796e0cfa0c24eda87c831f7eb21333d96aeb0037f6be428dff3cc
baf2c04a475a6714a665b9a2c286f78c06ae7a8313119593b829d0648c8a2e72,5468b20ee6e2b46865ae92b310e86c4d336203ef68bc8eff83cac644fe4e976d
e51d2e376b657e60fc51ad747da0caec89fd73249425c074901fff2539b1c5a5,6255475c217e5b03b9d47263a97bcab7db7f5f1fb815b10408d85f0d29667b79
e929a1a2758c6cef636a2b3546fe7f57e45eb2ac59a180af2f902a728b938093,0a1a6954417abc3e9f29959373e1630cc52a5fab5a91837d3fc92be512fd5645
9708ca7f8085a889841a79a6ed45147a5ea57dbb542a72fb5f888ee58ab3230d,f627b20c5b5480ada0f0f41827f9d8aa972c5d2048cb94293af967adf6f708bb
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,dadfde75b9a03a555acab59f97f1461cbff2c016dab677dcc5f24e34d07d2722
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,2835e12878e59cabfbdea65bae5757203de1fb65842337630d627b98d24c43e7
a1dc81cfa9344831b87dcb5cec01a47f2eaf3da1da76760175d8d3f0680cc87c,a3723e38e13770264508451ae1216fc0d05696d27f6b6cabace1231206c5583f
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,76dc7cecbfbfda9a75616454c1d4f9cf543e81e5198a5ddbe6a54d1a352ee682
cef47169adf91d4efaff9007f1d006ac4e88bf88683ad56fd35baed066dcdcc6,0199ee176358a12f60e2db2f1ee7decb716015c55fb5d5604c4697fb02436291
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,4c7170a8fa03d0893c0e1ca1f0752abeb781b718c69510ce4053a86c150c9900
41994a9fc15b9697e3e370568df68851e1b416bf7eccc7a62c1d7c026c36099e,a534b11d351847974ccafdccb7df6db532e15bfaae2935a47e4086547173950d
9708ca7f8085a889841a79a6ed45147a5ea57dbb542a72fb5f888ee58ab3230d,6d8551cc84f37e6923c2957e538411030f6ea09252386a34590b9456ab84f114
86bcbc656d1f5272014006e1a9ff0173657f4d493ce373c7a049795f6993e486,f4fcd46a2023c0752960ec29d05e9e91673b740439a68a06274ddc59b7a1785d
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,858cd39b411502a3ffcaa1803c944511523c28e5626f199315d4d379c4b6ff6c
74f08ce38c5bde2a2c1697809347a3b30e69582bc88eae8dd1d8175abc5d830f,a79376e07da06ca1e6fbf0742a069fddba199df3115e729b6f3b62cdf328cbcc
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,b5770cb509da72b451fe79ca18d25989d95a276d4189f91426ee82525a3607a8
7ed7b74c3360466be651ed9f92269011c6d5cb56432ba334d96c74e4923fe541,68e426462bf8f7245770b9007936cd4cde69880d1eeb32fb48e48b57ced2e46a
6dda5c5a2247d348c4c07f9d7edc9b02aa6ba5e8774ed22a046bd3ee479ca8b2,0490038fb5341823d8e9e44729d04ddc5858de3cfa0ef5588472d1c46db8c41c
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,77ec5d523afd24b91968c6a9504cb12aabbf646f8d00e0756e43e0ba58b036a4
86bcbc656d1f5272014006e1a9ff0173657f4d493ce373c7a049795f6993e486,bf02f242ec196aa7f8ff88ecb6df0c93c75d7a072b6d89be0c8a73f29720afde
7ed7b74c3360466be651ed9f92269011c6d5cb56432ba334d96c74e4923fe541,afa7904ca2adb104c9603a51ae357dd57c1419dca598dd009ccf244af7ce6eae
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,b0a909d2a04543084f5d176767da7777a79f1c4b09e5d9d8970827eda7c22cfc
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,bb86e80b0aba47af5df615faeaa9bc9534d54d869a320519c99d8282f8aab875
74f08ce38c5bde2a2c1697809347a3b30e69582bc88eae8dd1d8175abc5d830f,e68f07eee91ef3f8507138b52c23966bf767883aa60b17fc1e635fd0c7c7bc4b
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,5a23e193668631416aeb18046e518b4f22259995b6bf1a9a51af40aa5fa797bf
f42d465e48f561f7198a999f654811fd5433255f7bda60342c56ede755c16dab,3e0e46215233d79c4562eff1a97e51b97011d73d2c41f073aa0f6e82e4a092ea
74f08ce38c5bde2a2c1697809347a3b30e69582bc88eae8dd1d8175abc5d830f,c07076c346a7d99ee50fb5912e8b7b0d333d1924e861bd5fd26028f5099a9790
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,9f02670b9dc9b7aa0d8702ef4a4f6fb7568f8c26f3c3a9192fd87e6501c26c04
f44a45098009b7134a19e8efa1e8beef5fd9dceae6b23aed9d439c0b5312774e,6e61b72884d3e7da487c881631d4e47571005d3a639d3be4631fe80d5068f3a3
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,b311991be189e8fbd1a120417b2c31d17026f6b903e85e8396e7bbff8713be24
55da838cc76937614dd8d1830931a26110d54fed7724932f92ffba547cf1baaa,5885143cc4238a6fc0104f6e022ddf0f2db5d4daecc947851879dc9bd56c5b9e
